,metric,VertLevel,Label,p-values,p-value_type,p-values_FDR_corrected
231,AD,5,dorsal columns,0.8537687825781556,Age,0.9066526496034355
232,AD,2,ventral funiculi,0.6784136851187162,UPDRSIII,0.7202809696560972
233,AD,2,ventral funiculi,0.35936576672238896,Age,0.9066526496034355
234,AD,3,ventral funiculi,0.5086074787413328,UPDRSIII,0.7202809696560972
235,AD,3,ventral funiculi,0.9066526496034355,Age,0.9066526496034355
236,AD,4,ventral funiculi,0.41736340892745205,UPDRSIII,0.7202809696560972
237,AD,4,ventral funiculi,0.33991398756325997,Age,0.9066526496034355
238,AD,5,ventral funiculi,0.4574771282921464,UPDRSIII,0.7202809696560972
239,AD,5,ventral funiculi,0.44512649183080033,Age,0.9066526496034355
240,AD,2,lateral funiculi,0.6559391629577946,UPDRSIII,0.7202809696560972
241,AD,2,lateral funiculi,0.31286291243816616,Age,0.9066526496034355
242,AD,3,lateral funiculi,0.3656922049858421,UPDRSIII,0.7202809696560972
243,AD,3,lateral funiculi,0.6323736738469463,Age,0.9066526496034355
244,AD,4,lateral funiculi,0.23727682435202152,UPDRSIII,0.7202809696560972
245,AD,4,lateral funiculi,0.758100914319174,Age,0.9066526496034355
246,AD,5,lateral funiculi,0.7202809696560972,UPDRSIII,0.7202809696560972
247,AD,5,lateral funiculi,0.8225934012870302,Age,0.9066526496034355
248,MTR,2,white matter,0.3541937647839697,UPDRSIII,0.7731260326536354
249,MTR,2,white matter,0.5924250836658937,Age,0.6770572384753072
250,MTR,3,white matter,0.6540934857803087,UPDRSIII,0.7731260326536354
251,MTR,3,white matter,0.14843536933847692,Age,0.3268508180058119
252,MTR,4,white matter,0.22659680052667866,UPDRSIII,0.7731260326536354
253,MTR,4,white matter,0.173002749829663,Age,0.3268508180058119
254,MTR,5,white matter,0.4171895614723573,UPDRSIII,0.7731260326536354
255,MTR,5,white matter,0.001434370932320265,Age,0.01147496745856212
256,MTR,2,dorsal columns,0.6070723212785938,UPDRSIII,0.7731260326536354
257,MTR,2,dorsal columns,0.1678336457997896,Age,0.3268508180058119
258,MTR,3,dorsal columns,0.24653166642127514,UPDRSIII,0.7731260326536354
259,MTR,3,dorsal columns,0.05129475899258719,Age,0.20517903597034876
260,MTR,4,dorsal columns,0.07327774668257481,UPDRSIII,0.7731260326536354
261,MTR,4,dorsal columns,0.1838535851282692,Age,0.3268508180058119
262,MTR,5,dorsal columns,0.4928373504126876,UPDRSIII,0.7731260326536354
263,MTR,5,dorsal columns,0.0011668645290736567,Age,0.01147496745856212
264,MTR,2,ventral funiculi,0.6673042713089667,UPDRSIII,0.7731260326536354
265,MTR,2,ventral funiculi,0.8780099256126949,Age,0.9365439206535412
266,MTR,3,ventral funiculi,0.676485278571931,UPDRSIII,0.7731260326536354
267,MTR,3,ventral funiculi,0.24988514784781854,Age,0.39981623655650966
268,MTR,4,ventral funiculi,0.9807784489527152,UPDRSIII,0.9807784489527152
269,MTR,4,ventral funiculi,0.4030929601008826,Age,0.586317032874011
270,MTR,5,ventral funiculi,0.5036249578208869,UPDRSIII,0.7731260326536354
271,MTR,5,ventral funiculi,0.0664112417012,Age,0.21251597344384
272,MTR,2,lateral funiculi,0.2143622147656017,UPDRSIII,0.7731260326536354
273,MTR,2,lateral funiculi,0.9462308783889802,Age,0.9462308783889802
274,MTR,3,lateral funiculi,0.7760375718361182,UPDRSIII,0.8277734099585261
275,MTR,3,lateral funiculi,0.5840355976245826,Age,0.6770572384753072
276,MTR,4,lateral funiculi,0.26509917576171865,UPDRSIII,0.7731260326536354
277,MTR,4,lateral funiculi,0.46144281109343954,Age,0.6152570814579194
278,MTR,5,lateral funiculi,0.57063973809698,UPDRSIII,0.7731260326536354
279,MTR,5,lateral funiculi,0.011686296456687112,Age,0.0623269144356646
280,T2star,2,WM/GM,0.3190487652175289,UPDRSIII,0.3190487652175289
281,T2star,2,WM/GM,0.0004972769176047263,Age,0.0019891076704189052
282,T2star,3,WM/GM,0.2467469167012214,UPDRSIII,0.3190487652175289
283,T2star,3,WM/GM,0.019124544291002465,Age,0.019124544291002465
284,T2star,4,WM/GM,0.05398544562768118,UPDRSIII,0.2159417825107247
285,T2star,4,WM/GM,0.004663834126813738,Age,0.006218445502418317
286,T2star,5,WM/GM,0.12171031193929893,UPDRSIII,0.24342062387859786
287,T2star,5,WM/GM,0.004574773637563707,Age,0.006218445502418317
288,CSA,2,spinal cord,0.851453508677601,UPDRSIII,0.851453508677601
289,CSA,2,spinal cord,0.05734129158399383,Age,0.05734129158399383
290,CSA,3,spinal cord,0.41329489384063656,UPDRSIII,0.6677291585907684
291,CSA,3,spinal cord,0.0021754397328958997,Age,0.004350879465791799
292,CSA,4,spinal cord,0.5007968689430763,UPDRSIII,0.6677291585907684
293,CSA,4,spinal cord,0.0015624278108241636,Age,0.004350879465791799
294,CSA,5,spinal cord,0.16804241343597726,UPDRSIII,0.6677291585907684
295,CSA,5,spinal cord,0.02000876867615217,Age,0.026678358234869557
